Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Single Arm Kettlebell Front Rack Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Kettlebell Overhead Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Alternating Single Arm Dumbbell Plank Pull Through,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Dumbbell,1,,0,Prone,Single Arm,Alternating,Pronated,Other,Continuous,No Elevation,Single Exercise,Anti-Extension,"Anti-Rotational ",,Sagittal Plane,Frontal Plane,,Midsection,Other,Compound,Unilateral,Unsorted*,
Alternating Single Arm Dumbbell Feet Elevated Plank Pull Through,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Dumbbell,1,Bench (Flat),1,Prone,Single Arm,Alternating,Pronated,Other,Continuous,Feet Elevated,Single Exercise,Anti-Extension,"Anti-Rotational ",,Sagittal Plane,Frontal Plane,,Midsection,Unsorted*,Compound,Unilateral,Unsorted*,
Landmine Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding,
Single Arm Landmine Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,1,Slant Board,1,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding,
Clubbell Swing,Novice,Glutes,Gluteus Maximus,,,Clubbell,1,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics,
Macebell Half Battle Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Obliques,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Rotational,Knee Dominant,,Transverse Plane,Sagittal Plane,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Clubbell Order Pivot Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Clubbell,1,,0,Split Squat,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Macebell Order Pivot Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Macebell,1,,0,Split Squat,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Bodyweight Plate Assisted Hip Airplane,Intermediate,Glutes,Gluteus Medius,Gluteus Minimus,,Bodyweight,1,Weight Plate,1,Standing,Double Arm,Continuous,Hand Assisted,No Load,Continuous,No Elevation,Single Exercise,Rotational,Hip External Rotation,Hip Internal Rotation,Transverse Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Unsorted*,
Macebell Battle Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Obliques,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Rotational,Knee Dominant,,Transverse Plane,Sagittal Plane,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Single Arm Kettlebell Tactical Half Snatch,Advanced,Glutes,Gluteus Maximus,Biceps Femoris,"Anterior Deltoids ",Kettlebell,1,,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Heavy Sandbag Shoulder Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,,0,Standing,Single Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Unsorted*,
Barbell Tall Kneeling Cuban Rotation,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Barbell,1,,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*,
Barbell Cuban Rotation,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*,
Alternating Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,,0,Tall Kneeling,Single Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Barbell Feet Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Barbell,1,,0,Bridge,Double Arm,Continuous,Pronated,Hip Crease,Continuous,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,
Single Arm Kettlebell Tactical Snatch to Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Bodyweight Push Up to Alternating Lateral Kick Through,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1,,0,Prone,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Combo Exercise,Rotational,Horizontal Push,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Animal Flow,
Double Dumbbell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Dumbbell,2,,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Contralateral Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Dumbbell,1,,0,Single Leg Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Contralateral,Bodybuilding,
Dumbbell Crush Grip Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Dumbbell,1,,0,Single Leg Standing,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding,
Alternating Double Clubbell Pullover,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,2,,0,Standing,Double Arm,Alternating,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*,
Barbell Tall Kneeling Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,1,,0,Tall Kneeling,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,
Dumbbell Tall Kneeling Overhead Tricep Extension,Beginner,Triceps,"Triceps Brachii ",Anterior Deltoids,Rectus Abdominis,Dumbbell,1,,0,Tall Kneeling,Double Arm,Continuous,Flat Palm,Overhead,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding,
Clubbell Inside Circle to Shield Cast,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,Gluteus Maximus,Clubbell,1,,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Pull,Compound,Bilateral,Ballistics,
Alternating Single Arm Clubbell Inside Circle to Shield Cast,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,Gluteus Maximus,Clubbell,1,,0,Standing,Single Arm,Alternating,Neutral,Behind Back,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Pull,Compound,Unilateral,Ballistics,
Alternating Single Arm Kettlebell Snatch to Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Cable Prone Bench Single Leg Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,Bench (Flat),1,Prone,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding,
Double Dumbbell Tall Kneeling Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*,
Macebell Single Leg Standing Bent Knee 360,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Balance,
Single Arm Macebell Single Leg Standing Bent Knee Ipsilateral 360,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Ipsilateral,Balance,
Alternating Single Arm Macebell 360 to Ballistic Curl,Intermediate,Shoulders,Posterior Deltoids,Biceps Brachii,Rectus Abdominis,Macebell,1,,0,Standing,Single Arm,Alternating,Neutral,Behind Back,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics,
Double Dumbbell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Front Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Overhead Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Heavy Sandbag Bear Hug Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,
Heavy Sandbag Shoulder Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,,0,Standing,Single Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Unsorted*,
Barbell Back Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Dumbbell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Dumbbell Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Clubbell Order Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Clubbell Order Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,2,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Clubbell Order Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,1,,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Macebell Order Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Overhead Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Bodyweight Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Bulgarian Bag Back Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bulgarian Bag,1,,0,Standing,Double Arm,Continuous,Neutral,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Sandbag Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,1,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Plate Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Weight Plate,1,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Kettlebell Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Kettlebell Horn Grip Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
